k,hfa,regress,gd_mode,logloss,brier,acc
32,60,0.2,wfe,0.9590731511520612,0.5682977001654518,0.5485214493960849
40,40,0.1,wfe,0.9590739219445683,0.5682129957334567,0.5497709287796751
40,60,0.4,wfe,0.9590753460618342,0.5682763187887713,0.5501874219075386
48,40,0.3,wfe,0.9590793868610399,0.5682928570393053,0.5510204081632653
48,20,0.1,wfe,0.9590801957635604,0.5682151114854729,0.5518533944189921
48,80,0.2,wfe,0.9591015002138292,0.5682943489220508,0.5497709287796751
32,20,0.5,wfe,0.9591167638293547,0.5682977290923688,0.5489379425239483
32,0,0.5,wfe,0.9591261358102621,0.5683072084010091,0.5497709287796751
48,40,0.1,wfe,0.9591367452044579,0.5682555130972571,0.5501874219075386
48,60,0.3,wfe,0.9591505590403238,0.5683414948461697,0.5501874219075386
32,60,0.4,wfe,0.9591584989259946,0.5683390942761601,0.5472719700124948
32,40,0.5,wfe,0.9591615032687423,0.5683258383291743,0.5489379425239483
40,20,0.5,wfe,0.9591648738167802,0.5683375263414233,0.5481049562682215
40,40,0.5,wfe,0.9591823697660514,0.5683464244647585,0.5493544356518117
40,100,0.2,wfe,0.9591890253872326,0.5683598999632372,0.5481049562682215
40,0,0.5,wfe,0.959194471829427,0.5683607529222127,0.5485214493960849
40,80,0.4,wfe,0.9592113775744177,0.5683690133877954,0.5497709287796751
40,60,0.1,wfe,0.9592195830804654,0.5683159213200004,0.5485214493960849
48,60,0.1,wfe,0.9592414411442916,0.568329289166978,0.5501874219075386
40,60,0.5,wfe,0.9592475478213458,0.5683880571553782,0.5481049562682215
40,100,0.3,wfe,0.9592576309282809,0.5684130441099533,0.5518533944189921
32,60,0.5,wfe,0.9592604031274087,0.5683917643879945,0.5493544356518117
32,80,0.3,wfe,0.9592640846930234,0.5684344884336187,0.5501874219075386
48,80,0.3,wfe,0.9592652820541739,0.5684202144748202,0.5489379425239483
48,100,0.2,wfe,0.9592824356609926,0.5684207378775842,0.5501874219075386
32,80,0.2,wfe,0.9593084958184794,0.5684650507705942,0.5476884631403582
48,20,0.4,wfe,0.9593132321771854,0.5684561408888915,0.5493544356518117
48,40,0.4,wfe,0.959321502157346,0.5684601050121194,0.550603915035402
32,80,0.4,wfe,0.9593383751066648,0.568464034584168,0.5460224906289046
48,0,0.4,wfe,0.9593457211106462,0.5684796822297409,0.5497709287796751
40,80,0.5,wfe,0.9593598165184901,0.5684622674186846,0.5481049562682215
48,60,0.4,wfe,0.9593717619772701,0.568492625850932,0.5514369012911287
48,80,0.1,wfe,0.9593947872629272,0.5684369630471268,0.5497709287796751
40,100,0.4,wfe,0.9593951398272476,0.568495253959437,0.5497709287796751
32,80,0.5,wfe,0.9594122691475613,0.5684949194854136,0.5485214493960849
56,20,0.2,wfe,0.9594132771817968,0.568518956096648,0.5531028738025823
48,100,0.3,wfe,0.9594230513103336,0.5685289388190471,0.5501874219075386
40,80,0.1,wfe,0.9594231717272118,0.5684595977336986,0.5489379425239483
56,40,0.2,wfe,0.9594295150492552,0.5685309562596689,0.5518533944189921
56,0,0.2,wfe,0.9594311422718962,0.5685299089861511,0.5531028738025823
32,0,0.1,wfe,0.9594389313794272,0.5684837188366512,0.5485214493960849
48,80,0.4,wfe,0.9594642705803847,0.5685541342207963,0.5493544356518117
56,60,0.2,wfe,0.9594818150510847,0.5685674457611584,0.5531028738025823
32,20,0.1,wfe,0.9594871966320886,0.5685186911946378,0.5510204081632653
40,100,0.5,wfe,0.959517532350542,0.5685681994256541,0.5497709287796751
32,100,0.3,wfe,0.9595302425379482,0.5686229531018866,0.5485214493960849
48,40,0.5,wfe,0.9595372259461288,0.5686093010634897,0.5468554768846314
24,0,0.4,wfe,0.9595462604192843,0.5686466020696743,0.5439400249895877
56,20,0.1,wfe,0.9595463879310407,0.5685474061866952,0.556018325697626
48,20,0.5,wfe,0.959547674720867,0.5686197812405154,0.5472719700124948
56,0,0.1,wfe,0.9595570974057392,0.5685533018459569,0.5551853394418992
24,0,0.5,wfe,0.9595596600184588,0.5686249564655211,0.5451895043731778
48,60,0.5,wfe,0.9595676457098774,0.568626437933585,0.5493544356518117
24,0,0.3,wfe,0.9595697107741096,0.5686944749648748,0.5481049562682215
24,20,0.5,wfe,0.9595707381054013,0.5686296515327801,0.5456059975010412
56,80,0.2,wfe,0.9595714885049529,0.5686295560197231,0.5539358600583091
56,40,0.1,wfe,0.9595723485427405,0.5685664919062436,0.5547688463140358
32,100,0.4,wfe,0.9595724680685983,0.5686276870805703,0.5447730112453144
24,20,0.4,wfe,0.9595767228238458,0.5686662768302283,0.5447730112453144
48,100,0.1,wfe,0.9595964886639611,0.5685785110507866,0.5514369012911287
48,0,0.5,wfe,0.9595977717489766,0.5686568271261846,0.5481049562682215
48,100,0.4,wfe,0.95959837209367,0.5686444597585562,0.5501874219075386
32,100,0.2,wfe,0.9596056672261989,0.5686767910251096,0.5472719700124948
32,40,0.1,wfe,0.9596056859530331,0.5686032756953859,0.550603915035402
32,100,0.5,wfe,0.9596148150971168,0.568633985074962,0.5489379425239483
24,20,0.3,wfe,0.9596185152443975,0.5687285364677979,0.5493544356518117
56,60,0.1,wfe,0.9596370674296928,0.5686121635327399,0.5547688463140358
48,80,0.5,wfe,0.9596390825039618,0.5686715497467303,0.5489379425239483
24,40,0.5,wfe,0.959642034112742,0.5686769921250044,0.5439400249895877
56,40,0.3,wfe,0.9596637878098194,0.5687122215361422,0.5501874219075386
56,20,0.3,wfe,0.9596649706203215,0.5687133131167376,0.550603915035402
24,40,0.4,wfe,0.9596726093723407,0.5687326689289663,0.5456059975010412
40,100,0.1,wfe,0.9596834287385188,0.5686433417388272,0.5497709287796751
56,60,0.3,wfe,0.9596975969408026,0.5687346791461684,0.550603915035402
56,100,0.2,wfe,0.9596991545474803,0.5687179610407457,0.5522698875468555
56,0,0.3,wfe,0.9596992180492315,0.5687364308842296,0.5518533944189921
24,40,0.3,wfe,0.9597384433841321,0.5688136486123434,0.5485214493960849
56,80,0.1,wfe,0.9597420277858699,0.5686856320413022,0.5539358600583091
48,100,0.5,wfe,0.9597506764757173,0.5687443254054743,0.5468554768846314
56,80,0.3,wfe,0.9597675939691254,0.5687817543417613,0.5497709287796751
24,60,0.5,wfe,0.9597731879746223,0.5687669034748523,0.5460224906289046
32,60,0.1,wfe,0.9597941268724928,0.5687374511046106,0.5489379425239483
24,0,0.2,wfe,0.9598048106263186,0.5688609529698219,0.5481049562682215
24,60,0.4,wfe,0.9598335607216131,0.5688457135512317,0.5435235318617243
24,20,0.2,wfe,0.9598676228862647,0.5689062481033764,0.546438983756768
56,100,0.3,wfe,0.9598742179420205,0.5688540232820779,0.5481049562682215
56,100,0.1,wfe,0.9598880010637751,0.5687876217585056,0.5510204081632653
56,40,0.4,wfe,0.9599096533834542,0.5688861914142846,0.550603915035402
56,60,0.4,wfe,0.9599234893230556,0.5688932911458441,0.5501874219075386
24,60,0.3,wfe,0.9599290636496839,0.5689497029295271,0.5485214493960849
56,20,0.4,wfe,0.959930201335087,0.5689020597118276,0.5510204081632653
24,80,0.5,wfe,0.959962561112107,0.5688984532880171,0.5443565181174511
56,80,0.4,wfe,0.9599728016380704,0.5689243630752137,0.5489379425239483
56,0,0.4,wfe,0.959983202295292,0.5689393634406835,0.5518533944189921
24,40,0.2,wfe,0.9600080035349171,0.5690072426849881,0.5447730112453144
