sezon,takim,elo
2019-2020,Mesarya SK,1630.8684207039396
2019-2020,Mormenekşe GBSK,1312.5490359938722
2019-2020,Ozanköy SK,1056.8839082220152
2019-2020,Türk Ocağı Limasol SK,1550.465204904099
2019-2020,Yalova SK,1354.4260411465946
2019-2020,Yenicami AK,1600.890714827466
2019-2020,Çanakkale TSK,1207.903409662017
2019-2020,Çetinkaya TSK,1368.7456923863003
2021-2022,Alsancak Yeşilova SK,1563.6059039380539
2021-2022,Baf Ülkü Yurdu,1346.3085307824315
2021-2022,Binatlı YSK,1277.680720792017
2021-2022,Bostancı Bağcıl SK,1167.2892183608699
2021-2022,Cihangir GSK,1592.8275883151139
2021-2022,Değirmenlik SK,1416.3945939162302
2021-2022,Doğan Türk Birliği,1576.9395379753314
2021-2022,Dumlupınar TSK,1597.1434630607719
2021-2022,Dörtyol SK,1307.0022600275902
2021-2022,Düzkaya KOSK,1398.6655157225864
2021-2022,Esentepe KSKK,1461.1140589479205
2021-2022,Gençlik Gücü TSK,1532.5908354755702
2021-2022,Girne Halk Evi SK,1133.4076020176792
2021-2022,Gönyeli SK,1558.043312588786
2021-2022,Görneç KSK,1085.3667354877668
2021-2022,Göçmenköy İYSK,1486.956546162077
2021-2022,Hamitköy ŞHSK,1441.0474806292486
2021-2022,Küçük Kaymaklı TSK,1515.349852230036
2021-2022,L. Gençler Birliği SK,1448.1409411852098
2021-2022,Lefke TSK,1542.3790692560503
2021-2022,M. Karşıyaka ASK,1481.9689791242122
2021-2022,Maraş GSK,1327.3656270366666
2021-2022,Mağusa Türk Gücü,1789.2701937916472
2021-2022,Mesarya SK,1613.1360563502822
2021-2022,Mormenekşe GBSK,1317.1446136588138
2021-2022,Türk Ocağı Limasol SK,1413.4840878519003
2021-2022,Yalova SK,1317.9311106109997
2021-2022,Yeniboğaziçi DSK,1354.3579326402855
2021-2022,Yenicami AK,1683.6592019700063
2021-2022,Çanakkale TSK,1091.2324444697922
2021-2022,Çetinkaya TSK,1636.6068817766995
2021-2022,İncirli SK,1268.5643277847055
2022-2023,Alsancak Yeşilova SK,1539.8724079764559
2022-2023,Baf Ülkü Yurdu,1331.85568196562
2022-2023,Binatlı YSK,1365.2467843659322
2022-2023,Cihangir GSK,1636.6319311874445
2022-2023,Değirmenlik SK,1605.319593020534
2022-2023,Doğan Türk Birliği,1719.4520454115395
2022-2023,Dumlupınar TSK,1562.3128404740282
2022-2023,Dörtyol SK,1278.3257427326032
2022-2023,Düzkaya KOSK,1428.2988999274696
2022-2023,Esentepe KSKK,1564.0882794701624
2022-2023,Gençlik Gücü TSK,1402.2747622537995
2022-2023,Girne Halk Evi SK,1314.651406917697
2022-2023,Gönyeli SK,1217.929663721972
2022-2023,Göçmenköy İYSK,1442.2686702124736
2022-2023,Hamitköy ŞHSK,1358.838106205672
2022-2023,Karşıyaka SK,1505.6387513798597
2022-2023,Küçük Kaymaklı TSK,1454.724129855685
2022-2023,L. Gençler Birliği SK,1422.7678193937977
2022-2023,Lapta Türk Birliği SK,1381.4177200716351
2022-2023,Lefke TSK,1481.5872012877574
2022-2023,M. Hacıali Yılmazköy SK,1271.8422518235006
2022-2023,Maraş GSK,1390.6885082618453
2022-2023,Mağusa Türk Gücü,1874.6542162912992
2022-2023,Mesarya SK,1705.2625771722733
2022-2023,Mormenekşe GBSK,1360.7623518237162
2022-2023,Türk Ocağı Limasol SK,1354.1476884556262
2022-2023,Yalova SK,1398.4393438500326
2022-2023,Yeniboğaziçi DSK,1535.3573842735946
2022-2023,Yenicami AK,1562.8328703425373
2022-2023,Yenierenköy TSK,1080.221545016995
2022-2023,Çetinkaya TSK,1425.938868439278
2022-2023,İncirli SK,1140.1096254918846
2023-2024,Alsancak Yeşilova SK,1456.3031074979158
2023-2024,Baf Ülkü Yurdu,1179.201186952225
2023-2024,Binatlı YSK,1415.913650277695
2023-2024,Cihangir GSK,1731.5222035037878
2023-2024,Değirmenlik SK,1737.2309315923028
2023-2024,Doğan Türk Birliği,1588.1548932403903
2023-2024,Dumlupınar TSK,1479.2562869916674
2023-2024,Düzkaya KOSK,1342.4120991279256
2023-2024,Esentepe KSKK,1437.2098739005871
2023-2024,Gençlik Gücü TSK,1437.6653800254787
2023-2024,Geçitkale GSK,1311.1427650490182
2023-2024,Girne Halk Evi SK,1177.1896264502661
2023-2024,Gönyeli SK,1439.0911007769942
2023-2024,Göçmenköy İYSK,1610.9945245431954
2023-2024,Hamitköy ŞHSK,1366.7736253930823
2023-2024,Karşıyaka SK,1593.482809838025
2023-2024,Küçük Kaymaklı TSK,1439.7572745931043
2023-2024,L. Gençler Birliği SK,1530.7099042377267
2023-2024,Lapta Türk Birliği SK,1294.6317095419986
2023-2024,Lefke TSK,1544.6875312949396
2023-2024,M. Hacıali Yılmazköy SK,1406.1810189012224
2023-2024,Maraş GSK,1322.2167424363358
2023-2024,Mağusa Türk Gücü,1874.0015422730366
2023-2024,Mesarya SK,1435.1755448352594
2023-2024,Mormenekşe GBSK,1391.6768300426206
2023-2024,Ozanköy SK,1275.6104567610444
2023-2024,Türk Ocağı Limasol SK,1089.5127315963102
2023-2024,Yalova SK,1410.4954275590817
2023-2024,Yeniboğaziçi DSK,1252.8638504616245
2023-2024,Yenicami AK,1436.6184970593672
