date,sezon,takim,elo
2011-11-05,2011-2012,Hamitköy ŞHSK,1334.973713788663
2011-11-05,2011-2012,Mormenekşe GBSK,1397.2981139175643
2011-11-12,2011-2012,Küçük Kaymaklı TSK,1542.5280763630478
2011-11-12,2011-2012,Mağusa Türk Gücü,1523.6996175641102
2011-11-12,2011-2012,Lapta Türk Birliği SK,1443.318544787615
2011-11-12,2011-2012,Düzkaya KOSK,1324.3083019573178
2011-11-12,2011-2012,Lefke TSK,1399.7093670307524
2011-11-12,2011-2012,Doğan Türk Birliği,1511.5385282285808
2011-11-12,2011-2012,Cihangir GSK,1347.578418236926
2011-11-12,2011-2012,Bostancı Bağcıl SK,1397.8755809038976
2011-11-12,2011-2012,Görneç KSK,1423.7090984727504
2011-11-12,2011-2012,Türkmenköy ASK,1411.5959382574442
2011-11-12,2011-2012,Ozanköy SK,1362.002203525644
2011-11-12,2011-2012,Yeniboğaziçi DSK,1409.1092365669792
2011-11-12,2011-2012,Çanakkale TSK,1241.0677477330685
2011-11-12,2011-2012,Hamitköy ŞHSK,1311.7122734968661
2011-11-12,2011-2012,Mormenekşe GBSK,1416.6207958895766
2011-11-12,2011-2012,Dumlupınar TSK,1308.6614699679062
2011-11-13,2011-2012,Çetinkaya TSK,1542.1406843955203
2011-11-13,2011-2012,Göçmenköy İYSK,1286.90739847862
2011-11-13,2011-2012,Türk Ocağı Limasol SK,1298.0111324267166
2011-11-13,2011-2012,Gönyeli SK,1302.0899674364093
2011-11-13,2011-2012,Bellapais Tatlısu HOSK,1442.9718118114022
2011-11-13,2011-2012,Yenicami AK,1550.2914618247553
2011-11-13,2011-2012,Binatlı YSK,1351.6294625161088
2011-11-13,2011-2012,Serdarlı GB,1439.65679770757
2011-11-13,2011-2012,Gençlik Gücü TSK,1569.9860574991305
2011-11-13,2011-2012,Baf Ülkü Yurdu,1335.1776475067609
2011-11-13,2011-2012,Alsancak Yeşilova SK,1386.519419377365
2011-11-13,2011-2012,Esentepe KSKK,1401.1513963948248
2011-11-19,2011-2012,Düzkaya KOSK,1299.4403366647966
2011-11-19,2011-2012,Türk Ocağı Limasol SK,1322.8790977192377
2011-11-19,2011-2012,Yenicami AK,1514.5133818829531
2011-11-19,2011-2012,Küçük Kaymaklı TSK,1578.30615630485
2011-11-19,2011-2012,Lefke TSK,1360.3499289875886
2011-11-19,2011-2012,Cihangir GSK,1386.9378562800898
2011-11-19,2011-2012,Yeniboğaziçi DSK,1380.4781397683976
2011-11-19,2011-2012,Dumlupınar TSK,1337.2925667664879
2011-11-19,2011-2012,Türkmenköy ASK,1417.1130279295976
2011-11-19,2011-2012,Gençlik Gücü TSK,1564.4689678269772
2011-11-19,2011-2012,Serdarlı GB,1435.3532263238515
2011-11-19,2011-2012,Görneç KSK,1428.0126698564688
2011-11-19,2011-2012,Çanakkale TSK,1215.5994223059595
2011-11-19,2011-2012,Mormenekşe GBSK,1442.0891213166856
2011-11-20,2011-2012,Gönyeli SK,1304.142699027103
2011-11-20,2011-2012,Bostancı Bağcıl SK,1395.822849313204
2011-11-20,2011-2012,Göçmenköy İYSK,1312.319073552005
2011-11-20,2011-2012,Lapta Türk Birliği SK,1417.9068697142302
2011-11-20,2011-2012,Mağusa Türk Gücü,1490.1281481658039
2011-11-20,2011-2012,Çetinkaya TSK,1575.7121537938267
2011-11-20,2011-2012,Doğan Türk Birliği,1524.4579110417317
2011-11-20,2011-2012,Bellapais Tatlısu HOSK,1430.0524289982513
2011-11-20,2011-2012,Baf Ülkü Yurdu,1333.273698463342
2011-11-20,2011-2012,Ozanköy SK,1363.906152569063
2011-11-20,2011-2012,Esentepe KSKK,1375.0476557521824
2011-11-20,2011-2012,Binatlı YSK,1377.7332031587512
2011-11-20,2011-2012,Hamitköy ŞHSK,1350.8094962769053
2011-11-20,2011-2012,Alsancak Yeşilova SK,1347.4221965973259
2011-12-02,2011-2012,Çetinkaya TSK,1595.651812336142
2011-12-02,2011-2012,Yenicami AK,1494.5737233406378
2011-12-03,2011-2012,Küçük Kaymaklı TSK,1602.2308946593903
2011-12-03,2011-2012,Doğan Türk Birliği,1500.5331726871914
2011-12-03,2011-2012,Lapta Türk Birliği SK,1388.961704700565
2011-12-03,2011-2012,Mağusa Türk Gücü,1519.073313179469
2011-12-03,2011-2012,Türk Ocağı Limasol SK,1346.8688594512942
2011-12-03,2011-2012,Göçmenköy İYSK,1288.3293118199485
2011-12-03,2011-2012,Bostancı Bağcıl SK,1416.0533618830366
2011-12-03,2011-2012,Düzkaya KOSK,1279.209824094964
2011-12-03,2011-2012,Bellapais Tatlısu HOSK,1382.5613890270185
2011-12-03,2011-2012,Lefke TSK,1407.8409689588213
2011-12-03,2011-2012,Cihangir GSK,1399.151469908383
2011-12-03,2011-2012,Gönyeli SK,1291.9290853988098
2011-12-03,2011-2012,Binatlı YSK,1352.8313230707297
2011-12-03,2011-2012,Hamitköy ŞHSK,1375.7113763649268
2011-12-03,2011-2012,Görneç KSK,1378.7321717569243
2011-12-03,2011-2012,Esentepe KSKK,1424.328153851727
2011-12-03,2011-2012,Gençlik Gücü TSK,1554.5439634969325
2011-12-03,2011-2012,Serdarlı GB,1445.2782306538961
2011-12-03,2011-2012,Ozanköy SK,1363.5151587036275
2011-12-03,2011-2012,Türkmenköy ASK,1417.504021795033
2011-12-03,2011-2012,Dumlupınar TSK,1361.826455838908
2011-12-03,2011-2012,Baf Ülkü Yurdu,1308.739809390922
2011-12-03,2011-2012,Alsancak Yeşilova SK,1357.3801928795801
2011-12-03,2011-2012,Çanakkale TSK,1205.6414260237052
2011-12-03,2011-2012,Mormenekşe GBSK,1455.36117513896
2011-12-03,2011-2012,Yeniboğaziçi DSK,1367.206085946123
2011-12-10,2011-2012,Mağusa Türk Gücü,1533.6373153442594
2011-12-10,2011-2012,Türk Ocağı Limasol SK,1332.3048572865039
2011-12-10,2011-2012,Yenicami AK,1515.439753475138
2011-12-10,2011-2012,Lapta Türk Birliği SK,1368.0956745660646
2011-12-10,2011-2012,Bellapais Tatlısu HOSK,1348.8324591850662
2011-12-10,2011-2012,Cihangir GSK,1432.8803997503353
2011-12-10,2011-2012,Baf Ülkü Yurdu,1308.6515217458898
2011-12-10,2011-2012,Yeniboğaziçi DSK,1367.2943735911551
2011-12-10,2011-2012,Türkmenköy ASK,1437.8690383120593
2011-12-10,2011-2012,Dumlupınar TSK,1341.4614393218817
2011-12-10,2011-2012,Serdarlı GB,1468.2733777648714
2011-12-10,2011-2012,Ozanköy SK,1340.5200115926523
2011-12-10,2011-2012,Esentepe KSKK,1408.3159563038896
2011-12-10,2011-2012,Gençlik Gücü TSK,1570.5561610447699
