TEAMS
Çetinkaya TSK
Küçük Kaymaklı TSK
Lapta Türk Birliği SK
Bellapais Tatlısu HOSK
Bostancı Bağcıl SK
Doğan Türk Birliği
Düzkaya KOSK
Mağusa Türk Gücü
Görneç KSK
Binatlı YSK
Ozanköy SK
Çanakkale TSK
Gençlik Gücü TSK
Alsancak Yeşilova SK
Türk Ocağı Limasol SK
Lefke TSK
Gönyeli SK
Yenicami AK
Göçmenköy İYSK
Cihangir GSK
Yonpaş Dumlupınar TSK
Hamitköy ŞHSK
Yeni Mesarya Türkmenköy ASK
Mormenekşe GBSK
Yeniboğaziçi DSK
Esentepe KSKK
Baf Ülkü Yurdu
Serdarlı GB
Yalova SK
Vadili TÇBSK
DND L. Gençler Birliği SK
Değirmenlik Spor Kulübü
Akıncılar GSK
Geçitkale GSK
Denizli SK
GAÜ Çetinkaya TSK
M. Karşıyaka ASK
Girne Halk Evi SK
Mehmetçik TÇBSK
German Gold Akova Vuda TÇBSK
Mesarya SK
Dipkarpaz SK
Maraş GSK
Doğancı SK
Dumlupınar TSK
Dörtyol SK
İncirli SK
China Bazaar Gençlik Gücü TSK
Değirmenlik SK
M. Hacıali Yılmazköy SK
Pera L. Gençler Birliği SK
Karşıyaka SK
Yenierenköy TSK
Kozanköy KSK
Aslanköy GSD
Kaplıca Karadeniz 61 SK
Çello Dikmen Gücü SK
Karaoğlanoğlu SK
Akdoğan SK
MATCHES
lg,date,time,mid,h,a,hg,ag,forfeit
1,20111123,1430,1400,18,2,2,4,0
1,20111123,1430,1401,7,0,2,1,0
1,20111123,1430,1402,5,3,6,0,0
2,20111123,1430,1466,24,20,2,5,0
2,20111123,1430,1467,22,12,0,3,0
2,20111123,1430,1468,27,8,1,0,0
2,20111123,1430,1469,11,23,1,1,0
2,20111123,1430,1470,26,10,2,0,0
2,20111123,1430,1471,25,9,3,0,0
2,20111123,1430,1472,21,13,11,3,0
1,20111202,1400,1404,0,17,2,0,0
1,20111203,1400,1403,1,5,3,0,0
1,20111203,1400,1405,2,7,1,3,0
1,20111203,1400,1406,14,18,2,0,0
1,20111203,1400,1407,4,6,4,1,0
1,20111203,1400,1408,3,15,2,5,0
1,20111203,1400,1409,19,16,4,3,0
1,20111203,1130,1411,0,17,1,4,0
2,20111203,1400,1473,9,21,0,1,0
2,20111203,1400,1474,8,25,0,4,0
2,20111203,1400,1475,12,27,0,0,0
2,20111203,1400,1476,10,22,0,0,0
2,20111203,1400,1477,20,26,3,1,0
2,20111203,1400,1478,13,11,1,0,0
2,20111203,1400,1479,23,24,4,3,0
1,20111210,1400,1417,7,14,4,1,0
1,20111210,1400,1418,17,2,5,1,0
1,20111210,1400,1419,3,19,1,3,0
2,20111210,1400,1487,26,24,2,2,0
2,20111210,1400,1488,22,20,3,1,0
2,20111210,1400,1489,27,10,4,0,0
2,20111210,1400,1490,25,12,2,3,0
1,20111211,1400,1420,6,16,2,2,0
